path,status,owner,note,original_size,mobile_size,original_sha256,mobile_sha256
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.Shared.dll,ADD,unclassified,needs manual triage,,4096,,259813ce65979b6a56c6b5444c5b6b4632e32dba2c37acbc7fb00f5866738e88
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.Shared.pdb,ADD,unclassified,needs manual triage,,11060,,366ef52a55996211e399109f24b70d8cb064b26dc814d218ebef31a6b3cb5c46
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.deps.json,ADD,unclassified,needs manual triage,,52612,,0b847a7920684c5ab71277f95a2ae15a789afe9586d73526a73b18d33a69c6fd
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.dll,ADD,unclassified,needs manual triage,,158720,,938c63b4911a69344c2f92715a51f3e063eafbfcfe964b1abd4615ad0cf3a996
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.pdb,ADD,unclassified,needs manual triage,,98744,,b5ed68177f732b5fc029c9353875790667a880d532b754bfb05bba9bd2b8132b
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.runtimeconfig.json,ADD,unclassified,needs manual triage,,362,,4b4546da4fd9175f86782c08db3492baf602ca67a2a6afe53e20a0d47222ab4f
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/JetBrains.Lifetimes.dll,ADD,unclassified,needs manual triage,,272896,,93ab87c36b4a6dacd45b48a2effb982724ecb8b868db0995c438d90da6d93219
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/JetBrains.RdFramework.dll,ADD,unclassified,needs manual triage,,203264,,05b454e30510940eddd4d75689052fc79e6618a4d52025e08979fa5f5f56d3f4
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/JetBrains.Rider.PathLocator.dll,ADD,unclassified,needs manual triage,,20480,,ea69b571eb3ec3c831377bcdf6c002679007654be903591f13c036bc8c35ae9d
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/Microsoft.Build.Locator.dll,ADD,unclassified,needs manual triage,,27512,,ec3d31e3bde953231228853e7a31df2fcd2cafb30380b0148c3e7e38aeb607ca
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/Newtonsoft.Json.dll,ADD,unclassified,needs manual triage,,695336,,72cf291d4bab0edd08a9b07c6173e1e7ad1abb7ab727fd7044bf6305d7515661
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/NuGet.Frameworks.dll,ADD,unclassified,needs manual triage,,123944,,42972564d5632852fddf484c6badb1f91cd5167b4f540b23e30663aa84f795f0
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/nupkgs/Godot.NET.Sdk.4.5.1.nupkg,ADD,unclassified,needs manual triage,,6553,,cc2b1c288a4210cf12e8259633847954bfb17cb939532e2756f5f3c7003c1363
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/nupkgs/Godot.SourceGenerators.4.5.1.nupkg,ADD,unclassified,needs manual triage,,45896,,630cf45d178ccd4d50f3adbdbe326a9f1d38a0292b79c5ec6a94cfeeb9ddd28f
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/nupkgs/GodotSharp.4.5.1.nupkg,ADD,unclassified,needs manual triage,,3015943,,07fef756e5d379ce452c082a84b11a46b7500f40404dde505287fb65348b23d8
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/nupkgs/GodotSharp.4.5.1.snupkg,ADD,unclassified,needs manual triage,,3892704,,37534c30a121e4f4b42439f7e664bcb0cad7f531fb2061a49441068f9246842d
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/nupkgs/GodotSharpEditor.4.5.1.nupkg,ADD,unclassified,needs manual triage,,163489,,0588ba419a8047ea490aba5ec4a0a54889251fff883ceab2a2921fc92327ded6
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/nupkgs/GodotSharpEditor.4.5.1.snupkg,ADD,unclassified,needs manual triage,,242794,,459bfe9e6f60723635e5a3223a8bfcd8000e996a7ff4a86113e1ae8e6e0ca4e0
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/Godot_v4.5.1-stable_mono_linux.x86_64,ADD,unclassified,needs manual triage,,136833328,,cf499495ba071c5974e68602f14da9860269cc73bda7dc495ff28128e7972b64
.tools/godot/downloads/Godot_v4.5.1-stable_mono_export_templates.tpz,ADD,unclassified,needs manual triage,,1276830924,,c425633061bb49f4390bdcece2b9ce68b3b0be3c71095b40644d8f6f17b1146e
1、,ADD,unclassified,needs manual triage,,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
CLAUDE.md,ADD,unclassified,needs manual triage,,249,,1e1dd68ee5c0a3a5257aa729af556b0b7341b15672018bedef8a825a29f7903b
